pair,is_sharpe,oos_sharpe,is_return,oos_return,is_maxdd,oos_maxdd,sharpe_decay
MCD/DUK,0.6789,0.8381,0.1426,0.1226,-0.3168,-0.2022,-0.1592
KO/SO,0.752,0.7592,0.0851,0.0624,-0.1302,-0.0892,-0.007199999999999984
YUM/DUK,0.8233,0.6444,0.1902,0.1131,-0.3223,-0.2588,0.17890000000000006
MCD/AEP,0.7232,0.6341,0.1981,0.1406,-0.2682,-0.2632,0.08909999999999996
KO/DUK,0.8973,0.3678,0.1121,0.0349,-0.123,-0.1106,0.5295
MSFT/DUK,0.6156,0.2396,0.3014,0.0744,-0.4845,-0.2435,0.376
MSFT/NEE,0.9087,0.0048,0.1543,0.0011,-0.1958,-0.399,0.9038999999999999
PEP/DUK,0.3984,-0.2492,0.0546,-0.0342,-0.2137,-0.2661,0.6476
PEP/SO,0.7466,-0.4158,0.1177,-0.061,-0.2615,-0.3709,1.1624
KO/PEP,0.4253,-1.1597,0.0478,-0.1133,-0.1837,-0.3414,1.585
