ticker_a,ticker_b,direction,entry_date,exit_date,trade_return,holding_days
PEP,SO,short_spread,2015-05-08,2015-06-01,0.005639,24
PEP,SO,short_spread,2015-06-22,2015-07-02,0.016509,10
PEP,SO,short_spread,2015-07-14,2015-07-16,0.017492,2
PEP,SO,short_spread,2015-07-23,2015-07-28,0.018425,5
PEP,SO,long_spread,2015-07-30,2015-10-06,-0.010013,68
PEP,SO,short_spread,2015-10-22,2015-11-20,0.012467,29
PEP,SO,long_spread,2015-12-18,2016-03-01,-0.027369,74
PEP,SO,long_spread,2016-03-24,2016-04-04,0.016788,11
PEP,SO,short_spread,2016-04-06,2016-05-04,0.016098,28
PEP,SO,short_spread,2016-05-06,2016-05-26,0.033132,20
PEP,SO,long_spread,2016-06-14,2016-07-14,0.019029,30
PEP,SO,short_spread,2016-08-15,2016-09-08,0.026297,24
PEP,SO,short_spread,2016-09-30,2016-10-31,0.017628,31
PEP,SO,short_spread,2016-11-08,2016-11-16,0.019101,8
PEP,SO,short_spread,2016-12-07,2016-12-20,0.019131,13
PEP,SO,long_spread,2017-01-11,2017-01-23,0.017591,12
PEP,SO,short_spread,2017-02-07,2017-02-27,0.004589,20
PEP,SO,short_spread,2017-03-10,2017-05-12,-0.015829,63
PEP,SO,short_spread,2017-05-25,2017-06-13,0.012194,19
PEP,SO,short_spread,2017-06-22,2017-08-03,-0.023117,42
PEP,SO,long_spread,2017-09-08,2017-11-15,-0.034135,68
PEP,SO,short_spread,2017-12-04,2018-02-12,-0.069201,70
PEP,SO,long_spread,2018-03-23,2018-06-06,-0.052729,75
PEP,SO,short_spread,2018-07-17,2018-08-07,0.032424,21
PEP,SO,short_spread,2018-08-08,2018-10-04,-0.019572,57
PEP,SO,long_spread,2018-10-15,2018-10-25,0.041369,10
PEP,SO,long_spread,2018-12-14,2018-12-26,0.026105,12
PEP,SO,long_spread,2019-01-08,2019-03-22,-0.03722,73
PEP,SO,short_spread,2019-04-01,2019-05-13,0.006013,42
PEP,SO,short_spread,2019-06-07,2019-06-14,0.020074,7
PEP,SO,long_spread,2019-07-08,2019-07-12,0.014497,4
PEP,SO,long_spread,2019-07-19,2019-08-29,-0.016648,41
PEP,SO,long_spread,2019-09-18,2019-10-04,0.012942,16
PEP,SO,long_spread,2019-10-30,2019-12-06,0.006267,37
PEP,SO,short_spread,2019-12-10,2019-12-16,0.0229,6
PEP,SO,long_spread,2019-12-17,2020-02-07,-0.005344,52
PEP,SO,long_spread,2020-03-05,2020-03-13,0.135594,8
PEP,SO,short_spread,2020-03-16,2020-03-27,0.092169,11
PEP,SO,short_spread,2020-04-01,2020-05-28,0.018872,57
PEP,SO,long_spread,2020-06-08,2020-06-16,0.061337,8
PEP,SO,short_spread,2020-06-23,2020-09-15,-0.034479,84
PEP,SO,long_spread,2020-09-21,2020-09-29,0.02995,8
PEP,SO,long_spread,2020-10-02,2020-11-30,-0.028057,59
PEP,SO,short_spread,2020-12-28,2021-01-08,0.041958,11
PEP,SO,long_spread,2021-02-10,2021-03-22,0.016435,40
PEP,SO,long_spread,2021-04-30,2021-05-12,0.02537,12
PEP,SO,short_spread,2021-05-25,2021-08-05,-0.038474,72
PEP,SO,long_spread,2021-09-07,2021-09-17,0.025905,10
PEP,SO,short_spread,2021-10-06,2021-12-16,-0.030055,71
PEP,SO,long_spread,2022-01-26,2022-02-10,0.006735,15
PEP,SO,short_spread,2022-02-18,2022-03-07,0.102944,17
PEP,SO,long_spread,2022-03-08,2022-04-27,0.022457,50
PEP,SO,long_spread,2022-05-18,2022-07-28,0.044904,71
PEP,SO,long_spread,2022-08-26,2022-10-12,0.204757,47
PEP,SO,short_spread,2022-10-13,2022-12-12,0.050039,60
PEP,SO,long_spread,2022-12-27,2022-12-30,-0.002648,3
