ticker_a,ticker_b,direction,entry_date,exit_date,trade_return,holding_days
KO,SO,long_spread,2023-05-04,2023-05-12,0.006245,8
KO,SO,long_spread,2023-05-23,2023-06-02,0.012765,10
KO,SO,long_spread,2023-06-07,2023-06-15,0.015311,8
KO,SO,long_spread,2023-07-11,2023-07-14,0.013854,3
KO,SO,short_spread,2023-08-03,2023-08-22,0.021846,19
KO,SO,long_spread,2023-09-08,2023-09-29,0.002176,21
KO,SO,long_spread,2023-10-05,2023-10-24,0.036446,19
KO,SO,short_spread,2024-01-11,2024-03-04,-0.020365,53
KO,SO,long_spread,2024-04-17,2024-04-26,0.014887,9
KO,SO,long_spread,2024-05-09,2024-06-06,0.007018,28
KO,SO,short_spread,2024-07-26,2024-07-31,0.015223,5
KO,SO,short_spread,2024-08-26,2024-09-05,0.019866,10
KO,SO,long_spread,2024-10-17,2024-12-03,-0.040884,47
KO,SO,short_spread,2025-02-11,2025-03-10,0.005223,27
KO,SO,short_spread,2025-05-15,2025-05-20,0.033268,5
KO,SO,long_spread,2025-06-20,2025-06-27,0.006695,7
