ticker_a,ticker_b,direction,entry_date,exit_date,trade_return,holding_days
MCD,AEP,short_spread,2023-03-29,2023-04-05,0.049719,7
MCD,AEP,short_spread,2023-04-14,2023-07-12,-0.100042,89
MCD,AEP,short_spread,2023-08-03,2023-09-14,0.004792,42
MCD,AEP,short_spread,2023-09-28,2023-10-09,0.039536,11
MCD,AEP,long_spread,2023-10-16,2023-10-18,0.038735,2
MCD,AEP,short_spread,2023-10-20,2023-10-24,0.027834,4
MCD,AEP,long_spread,2023-10-26,2023-10-30,0.021487,4
MCD,AEP,long_spread,2023-11-02,2023-11-14,0.032283,12
MCD,AEP,short_spread,2023-12-12,2023-12-18,0.032377,6
MCD,AEP,long_spread,2024-01-03,2024-01-10,0.011313,7
MCD,AEP,short_spread,2024-01-11,2024-01-12,0.019376,1
MCD,AEP,short_spread,2024-01-17,2024-02-13,0.011241,27
MCD,AEP,long_spread,2024-02-21,2024-02-26,0.039891,5
MCD,AEP,long_spread,2024-02-27,2024-06-21,-0.177413,115
MCD,AEP,long_spread,2024-07-11,2024-08-15,-0.025384,35
MCD,AEP,long_spread,2024-09-05,2024-09-19,0.03701,14
MCD,AEP,short_spread,2024-09-25,2024-10-23,-0.000142,28
MCD,AEP,short_spread,2024-10-29,2024-10-31,0.027475,2
MCD,AEP,short_spread,2024-11-01,2024-11-04,0.022667,3
MCD,AEP,short_spread,2024-11-06,2024-11-15,0.017285,9
MCD,AEP,short_spread,2024-12-06,2025-01-08,-0.014793,33
MCD,AEP,long_spread,2025-01-16,2025-02-13,0.027906,28
MCD,AEP,long_spread,2025-02-18,2025-03-06,0.016377,16
MCD,AEP,long_spread,2025-03-13,2025-03-25,0.053001,12
MCD,AEP,long_spread,2025-03-28,2025-04-07,0.047468,10
MCD,AEP,long_spread,2025-04-17,2025-04-21,0.018622,4
MCD,AEP,long_spread,2025-04-29,2025-04-30,0.016332,1
MCD,AEP,short_spread,2025-05-12,2025-06-10,0.042158,29
MCD,AEP,long_spread,2025-06-18,2025-06-27,-0.011909,9
