ticker_a,ticker_b,direction,entry_date,exit_date,trade_return,holding_days
MCD,DUK,short_spread,2015-06-10,2015-06-18,0.045079,8
MCD,DUK,short_spread,2015-06-23,2015-07-07,0.081643,14
MCD,DUK,long_spread,2015-08-21,2015-08-25,0.081488,4
MCD,DUK,short_spread,2015-09-02,2015-09-25,0.018631,23
MCD,DUK,short_spread,2015-10-28,2015-12-17,-0.053644,50
MCD,DUK,long_spread,2016-02-01,2016-02-26,-0.009298,25
MCD,DUK,long_spread,2016-06-03,2016-07-20,-0.060935,47
MCD,DUK,short_spread,2016-10-11,2016-10-18,0.062387,7
MCD,DUK,short_spread,2016-11-10,2016-12-13,-0.013103,33
MCD,DUK,long_spread,2017-02-23,2017-03-08,0.016028,13
MCD,DUK,short_spread,2017-05-03,2017-05-30,0.03166,27
MCD,DUK,short_spread,2017-07-07,2017-07-20,0.040927,13
MCD,DUK,short_spread,2017-07-25,2017-07-31,0.048657,6
MCD,DUK,short_spread,2017-12-18,2018-02-13,-0.123234,57
MCD,DUK,long_spread,2018-04-27,2018-04-30,0.061131,3
MCD,DUK,short_spread,2018-05-18,2018-05-29,0.0618,11
MCD,DUK,short_spread,2018-06-06,2018-06-19,0.038394,13
MCD,DUK,short_spread,2018-09-21,2018-10-05,0.02275,14
MCD,DUK,long_spread,2018-12-04,2018-12-24,0.031619,20
MCD,DUK,long_spread,2019-02-08,2019-02-15,0.062104,7
MCD,DUK,short_spread,2019-05-08,2019-05-23,0.031619,15
MCD,DUK,short_spread,2019-07-25,2019-08-06,0.045486,12
MCD,DUK,long_spread,2019-09-03,2019-11-08,-0.049658,66
MCD,DUK,long_spread,2020-02-13,2020-02-28,0.036203,15
MCD,DUK,long_spread,2020-03-04,2020-03-10,0.073782,6
MCD,DUK,long_spread,2020-03-17,2020-03-26,0.218595,9
MCD,DUK,short_spread,2020-08-26,2020-11-30,0.23784,96
MCD,DUK,long_spread,2021-05-13,2021-05-27,0.068611,14
MCD,DUK,long_spread,2021-07-19,2021-07-22,0.053733,3
MCD,DUK,long_spread,2021-08-03,2021-08-27,0.015326,24
MCD,DUK,short_spread,2021-09-22,2021-10-14,0.043545,22
MCD,DUK,long_spread,2022-01-27,2022-02-14,0.070222,18
MCD,DUK,long_spread,2022-03-03,2022-04-28,-0.101131,56
MCD,DUK,short_spread,2022-06-13,2022-06-30,0.02268,17
MCD,DUK,short_spread,2022-09-27,2022-11-15,-0.145728,49
