ticker_a,ticker_b,direction,entry_date,exit_date,trade_return,holding_days
MCD,DUK,short_spread,2023-05-16,2023-07-12,-0.041518,57
MCD,DUK,long_spread,2023-09-13,2023-09-28,0.033064,15
MCD,DUK,long_spread,2023-12-14,2023-12-27,0.047649,13
MCD,DUK,short_spread,2024-02-26,2024-03-06,0.067751,9
MCD,DUK,long_spread,2024-04-05,2024-06-21,-0.106149,77
MCD,DUK,long_spread,2024-07-24,2024-08-19,0.047645,26
MCD,DUK,short_spread,2024-10-04,2024-10-16,0.049328,12
MCD,DUK,short_spread,2024-12-16,2025-01-08,0.047097,23
MCD,DUK,long_spread,2025-03-14,2025-03-25,0.077929,11
MCD,DUK,short_spread,2025-05-13,2025-05-30,0.063016,17
