ticker_a,ticker_b,eg_pvalue,adf_stat,adf_pvalue,hedge_ratio
MSFT,NEE,0.00031,-4.847,4.4e-05,1.435736
KO,DUK,0.000635,-4.6685,9.6e-05,0.942715
MCD,DUK,0.001174,-4.515,0.000185,1.653167
PEP,SO,0.0017,-4.412,0.000283,0.969349
PEP,DUK,0.002192,-4.3419,0.000376,1.173968
MCD,AEP,0.002681,-4.2911,0.00046,1.415546
YUM,DUK,0.009469,-3.9199,0.001893,1.430858
KO,PEP,0.009779,-3.9038,0.002007,0.781204
KO,SO,0.010292,-3.8872,0.002131,0.772507
MSFT,DUK,0.031596,-3.5126,0.007668,3.090368
YUM,NEE,0.034562,-3.4771,0.008596,0.639251
GOOGL,DUK,0.046277,-3.3701,0.012023,2.087791
