ticker_a,ticker_b,direction,entry_date,exit_date,trade_return,holding_days
KO,DUK,short_spread,2015-06-08,2015-07-06,0.013572,28
KO,DUK,short_spread,2015-07-21,2015-08-11,0.027623,21
KO,DUK,long_spread,2015-08-19,2015-08-31,0.041783,12
KO,DUK,short_spread,2015-10-28,2015-12-23,-0.013977,56
KO,DUK,long_spread,2016-02-01,2016-03-01,0.049795,29
KO,DUK,long_spread,2016-05-13,2016-05-18,0.019138,5
KO,DUK,long_spread,2016-06-03,2016-08-15,-0.040262,73
KO,DUK,short_spread,2016-11-14,2016-11-29,0.024873,15
KO,DUK,long_spread,2017-01-12,2017-01-24,0.025321,12
KO,DUK,long_spread,2017-02-10,2017-04-11,-0.001731,60
KO,DUK,short_spread,2017-06-28,2017-07-20,0.00865,22
KO,DUK,short_spread,2017-07-25,2017-08-03,0.018432,9
KO,DUK,long_spread,2017-08-28,2017-09-15,0.023815,18
KO,DUK,long_spread,2017-11-20,2017-12-05,0.031082,15
KO,DUK,short_spread,2017-12-20,2018-02-21,-0.037696,63
KO,DUK,long_spread,2018-04-25,2018-05-23,0.035497,28
KO,DUK,short_spread,2018-06-06,2018-06-21,0.045065,15
KO,DUK,short_spread,2018-09-21,2018-10-05,0.03162,14
KO,DUK,long_spread,2018-12-10,2019-01-11,0.022196,32
KO,DUK,long_spread,2019-02-14,2019-04-01,0.015632,46
KO,DUK,short_spread,2019-05-14,2019-08-20,-0.046712,98
KO,DUK,short_spread,2019-11-19,2020-01-24,0.00267,66
KO,DUK,short_spread,2020-02-10,2020-02-24,0.083388,14
KO,DUK,long_spread,2020-02-25,2020-04-07,-0.008777,42
KO,DUK,long_spread,2020-06-11,2020-06-17,0.03909,6
KO,DUK,short_spread,2020-07-06,2020-08-03,0.020721,28
KO,DUK,short_spread,2020-08-26,2020-11-12,0.063233,78
KO,DUK,long_spread,2021-01-29,2021-02-12,0.08253,14
KO,DUK,long_spread,2021-05-11,2021-06-03,0.03098,23
KO,DUK,long_spread,2021-08-05,2021-09-29,0.01983,55
KO,DUK,short_spread,2021-10-29,2021-12-02,0.018573,34
KO,DUK,short_spread,2022-01-04,2022-03-04,-0.013026,59
KO,DUK,long_spread,2022-03-10,2022-04-20,0.057647,41
KO,DUK,short_spread,2022-06-17,2022-07-11,0.033599,24
KO,DUK,long_spread,2022-09-07,2022-10-12,0.11752,35
KO,DUK,short_spread,2022-10-13,2022-12-12,0.007508,60
