ticker_a,ticker_b,direction,entry_date,exit_date,trade_return,holding_days
KO,PEP,short_spread,2023-04-20,2023-07-24,0.042797,95
KO,PEP,short_spread,2023-07-27,2023-08-04,0.009641,8
KO,PEP,short_spread,2023-08-09,2023-09-06,0.001234,28
KO,PEP,long_spread,2023-09-07,2023-10-17,0.004491,40
KO,PEP,short_spread,2023-10-24,2024-02-06,-0.0352,105
KO,PEP,short_spread,2024-02-20,2024-03-20,0.009878,29
KO,PEP,long_spread,2024-04-04,2024-04-23,0.013149,19
KO,PEP,short_spread,2024-05-29,2024-10-09,-0.11823,133
KO,PEP,long_spread,2024-10-23,2024-12-12,0.001847,50
KO,PEP,short_spread,2025-01-02,2025-06-20,-0.226763,169
