ticker_a,ticker_b,direction,entry_date,exit_date,trade_return,holding_days
KO,SO,short_spread,2015-05-13,2015-05-27,0.012235,14
KO,SO,short_spread,2015-06-22,2015-06-29,0.014983,7
KO,SO,long_spread,2015-07-06,2015-07-10,0.018021,4
KO,SO,long_spread,2015-07-30,2015-08-03,0.011844,4
KO,SO,long_spread,2015-08-11,2015-09-03,-0.010448,23
KO,SO,short_spread,2015-10-22,2015-11-20,0.005061,29
KO,SO,short_spread,2015-11-24,2015-12-14,0.013981,20
KO,SO,long_spread,2016-01-04,2016-02-12,-0.008286,39
KO,SO,short_spread,2016-03-29,2016-04-20,0.022575,22
KO,SO,long_spread,2016-06-14,2016-08-15,-0.03055,62
KO,SO,long_spread,2016-09-16,2016-09-30,0.012287,14
KO,SO,short_spread,2016-11-09,2016-12-13,0.010234,34
KO,SO,long_spread,2017-01-17,2017-01-20,0.01028,3
KO,SO,short_spread,2017-01-25,2017-01-27,0.013876,2
KO,SO,long_spread,2017-02-10,2017-02-16,0.017027,6
KO,SO,long_spread,2017-02-24,2017-03-01,0.013814,5
KO,SO,short_spread,2017-03-30,2017-04-05,0.010435,6
KO,SO,short_spread,2017-04-11,2017-06-15,-0.02323,65
KO,SO,short_spread,2017-06-23,2017-08-02,-0.010416,40
KO,SO,long_spread,2017-10-02,2017-10-04,0.014134,2
KO,SO,long_spread,2017-10-19,2017-11-10,0.006493,22
KO,SO,long_spread,2017-11-20,2017-11-30,0.012659,10
KO,SO,short_spread,2017-12-22,2018-02-08,-0.031663,48
KO,SO,long_spread,2018-04-24,2018-05-17,0.015946,23
KO,SO,short_spread,2018-06-11,2018-06-14,0.025992,3
KO,SO,short_spread,2018-08-09,2018-10-10,-0.034967,62
KO,SO,short_spread,2018-11-02,2018-11-20,0.012003,18
KO,SO,long_spread,2019-01-10,2019-02-06,0.007646,27
KO,SO,long_spread,2019-02-14,2019-03-28,-0.014345,42
KO,SO,short_spread,2019-06-07,2019-07-09,0.013974,32
KO,SO,short_spread,2019-07-12,2019-07-22,0.012778,10
KO,SO,short_spread,2019-07-23,2019-08-01,0.062701,9
KO,SO,long_spread,2019-09-20,2019-10-18,0.01363,28
KO,SO,long_spread,2019-11-05,2019-11-26,0.007003,21
KO,SO,long_spread,2020-01-28,2020-01-30,0.021163,2
KO,SO,short_spread,2020-02-10,2020-02-18,0.019368,8
KO,SO,long_spread,2020-03-06,2020-03-10,0.026784,4
KO,SO,short_spread,2020-03-16,2020-03-18,0.131218,2
KO,SO,long_spread,2020-03-19,2020-04-03,0.054326,15
KO,SO,short_spread,2020-06-25,2020-07-09,0.031295,14
KO,SO,short_spread,2020-07-15,2020-08-03,0.014449,19
KO,SO,short_spread,2020-08-05,2020-09-23,-0.03446,49
KO,SO,long_spread,2020-10-26,2020-11-09,0.030638,14
KO,SO,short_spread,2020-12-28,2021-01-05,0.032146,8
KO,SO,long_spread,2021-01-19,2021-02-12,0.046092,24
KO,SO,short_spread,2021-05-26,2021-08-04,-0.025015,70
KO,SO,long_spread,2021-08-20,2021-09-27,0.008671,38
KO,SO,short_spread,2021-10-27,2021-11-19,0.013548,23
KO,SO,short_spread,2022-02-07,2022-03-07,0.032222,28
KO,SO,long_spread,2022-03-10,2022-03-17,0.045352,7
KO,SO,long_spread,2022-05-18,2022-05-26,0.032181,8
KO,SO,long_spread,2022-08-09,2022-09-29,-0.017017,51
KO,SO,short_spread,2022-10-12,2022-12-12,-0.03818,61
