ticker_a,ticker_b,direction,entry_date,exit_date,trade_return,holding_days
MCD,AEP,short_spread,2015-03-30,2015-04-20,0.01677,21
MCD,AEP,short_spread,2015-05-12,2015-05-18,0.021043,6
MCD,AEP,short_spread,2015-05-19,2015-05-27,0.024848,8
MCD,AEP,short_spread,2015-06-03,2015-07-06,0.010954,33
MCD,AEP,long_spread,2015-07-27,2015-08-25,0.003912,29
MCD,AEP,short_spread,2015-09-02,2015-09-17,0.053815,15
MCD,AEP,short_spread,2015-10-07,2015-10-12,0.021542,5
MCD,AEP,long_spread,2015-10-21,2015-12-23,0.155565,63
MCD,AEP,long_spread,2016-01-15,2016-01-21,0.046386,6
MCD,AEP,long_spread,2016-01-29,2016-04-05,-0.077742,67
MCD,AEP,short_spread,2016-04-20,2016-05-11,0.038805,21
MCD,AEP,long_spread,2016-05-31,2016-07-21,-0.052807,51
MCD,AEP,long_spread,2016-07-26,2016-08-12,0.013275,17
MCD,AEP,short_spread,2016-08-30,2016-09-07,0.022138,8
MCD,AEP,short_spread,2016-09-09,2016-09-21,0.031754,12
MCD,AEP,short_spread,2016-09-29,2016-10-18,0.004305,19
MCD,AEP,short_spread,2016-10-21,2016-10-25,0.030708,4
MCD,AEP,short_spread,2016-11-09,2016-12-19,-0.038562,40
MCD,AEP,long_spread,2017-02-22,2017-03-08,0.010681,14
MCD,AEP,long_spread,2017-03-13,2017-04-11,-0.007839,29
MCD,AEP,short_spread,2017-04-25,2017-05-30,0.022015,35
MCD,AEP,short_spread,2017-06-27,2017-07-31,-0.014803,34
MCD,AEP,long_spread,2017-08-24,2017-09-19,0.02517,26
MCD,AEP,short_spread,2017-10-18,2017-10-23,0.030302,5
MCD,AEP,short_spread,2017-11-02,2017-11-08,0.02032,6
MCD,AEP,long_spread,2017-11-09,2017-12-05,0.024633,26
MCD,AEP,short_spread,2017-12-18,2018-02-15,-0.083999,59
MCD,AEP,long_spread,2018-03-22,2018-04-10,0.02316,19
MCD,AEP,long_spread,2018-04-19,2018-04-30,0.016548,11
MCD,AEP,long_spread,2018-05-03,2018-05-04,0.02539,1
MCD,AEP,short_spread,2018-05-08,2018-05-29,0.044387,21
MCD,AEP,short_spread,2018-06-05,2018-06-19,-0.001997,14
MCD,AEP,long_spread,2018-06-25,2018-08-31,-0.047487,67
MCD,AEP,long_spread,2018-09-14,2018-09-19,0.01957,5
MCD,AEP,short_spread,2018-09-21,2018-10-08,0.011627,17
MCD,AEP,short_spread,2018-10-23,2018-10-24,0.037156,1
MCD,AEP,short_spread,2018-10-25,2018-11-12,0.010589,18
MCD,AEP,long_spread,2018-12-04,2018-12-24,0.005628,20
MCD,AEP,short_spread,2019-01-02,2019-01-15,0.016795,13
MCD,AEP,long_spread,2019-01-31,2019-03-29,-0.027839,57
MCD,AEP,short_spread,2019-04-18,2019-05-01,0.034505,13
MCD,AEP,short_spread,2019-05-06,2019-05-13,0.033695,7
MCD,AEP,long_spread,2019-05-23,2019-05-29,0.023609,6
MCD,AEP,long_spread,2019-06-05,2019-06-11,0.030248,6
MCD,AEP,long_spread,2019-06-13,2019-06-26,0.015621,13
MCD,AEP,short_spread,2019-07-23,2019-08-20,0.00917,28
MCD,AEP,short_spread,2019-08-28,2019-08-30,0.01699,2
MCD,AEP,long_spread,2019-09-03,2019-09-05,0.028011,2
MCD,AEP,long_spread,2019-09-10,2019-11-12,-0.053424,63
MCD,AEP,long_spread,2019-11-20,2019-12-02,0.028164,12
MCD,AEP,long_spread,2019-12-05,2019-12-12,0.02911,7
MCD,AEP,long_spread,2019-12-18,2020-01-02,0.02842,15
MCD,AEP,short_spread,2020-01-08,2020-01-15,0.026962,7
MCD,AEP,long_spread,2020-01-21,2020-02-24,-0.010549,34
MCD,AEP,short_spread,2020-02-27,2020-03-02,0.032999,4
