ticker_a,ticker_b,direction,entry_date,exit_date,trade_return,holding_days
MSFT,NEE,short_spread,2015-04-27,2015-05-29,0.006553,32
MSFT,NEE,long_spread,2015-08-21,2015-08-28,0.077437,7
MSFT,NEE,short_spread,2015-10-26,2015-12-16,-0.034509,51
MSFT,NEE,long_spread,2016-01-19,2016-03-02,-0.018806,43
MSFT,NEE,long_spread,2016-04-28,2016-05-25,0.016438,27
MSFT,NEE,short_spread,2016-11-09,2016-12-29,-0.009639,50
MSFT,NEE,long_spread,2017-02-07,2017-03-30,-0.014834,51
MSFT,NEE,short_spread,2017-10-27,2017-11-14,0.018534,18
MSFT,NEE,short_spread,2018-01-04,2018-02-05,0.018591,32
MSFT,NEE,long_spread,2018-03-22,2018-04-12,0.064573,21
MSFT,NEE,short_spread,2018-06-06,2018-06-19,0.075856,13
MSFT,NEE,short_spread,2018-09-25,2018-10-05,0.06521,10
MSFT,NEE,long_spread,2018-10-24,2018-10-26,0.089812,2
MSFT,NEE,long_spread,2018-11-19,2018-11-28,0.089858,9
MSFT,NEE,short_spread,2019-04-25,2019-05-13,0.077105,18
MSFT,NEE,long_spread,2019-08-15,2019-10-15,-0.019792,61
MSFT,NEE,long_spread,2020-01-24,2020-02-04,0.080978,11
MSFT,NEE,long_spread,2020-03-04,2020-03-10,0.081391,6
MSFT,NEE,short_spread,2020-03-13,2020-03-27,0.122999,14
MSFT,NEE,long_spread,2021-01-06,2021-01-27,0.058982,21
MSFT,NEE,long_spread,2021-08-18,2021-09-15,0.035545,28
MSFT,NEE,long_spread,2021-12-16,2022-01-06,0.067751,21
MSFT,NEE,short_spread,2022-01-26,2022-02-25,0.080583,30
MSFT,NEE,short_spread,2022-10-20,2022-10-26,0.116094,6
