ticker_a,ticker_b,direction,entry_date,exit_date,trade_return,holding_days
PEP,DUK,short_spread,2015-06-23,2015-07-07,0.045402,14
PEP,DUK,long_spread,2015-08-21,2015-08-31,0.055196,10
PEP,DUK,short_spread,2015-10-26,2015-12-17,-0.000345,52
PEP,DUK,long_spread,2016-01-14,2016-03-01,0.003536,47
PEP,DUK,long_spread,2016-06-14,2016-07-12,0.021892,28
PEP,DUK,short_spread,2016-09-01,2016-09-23,0.043817,22
PEP,DUK,short_spread,2016-10-04,2016-10-31,0.035238,27
PEP,DUK,long_spread,2017-01-11,2017-01-24,0.024869,13
PEP,DUK,long_spread,2017-02-27,2017-03-08,0.027416,9
PEP,DUK,long_spread,2017-06-15,2017-06-28,0.017936,13
PEP,DUK,long_spread,2017-08-24,2017-11-21,-0.035363,89
PEP,DUK,short_spread,2017-12-19,2018-02-16,-0.043068,59
PEP,DUK,long_spread,2018-04-20,2018-05-21,0.016831,31
PEP,DUK,long_spread,2018-10-04,2018-11-01,0.017946,28
PEP,DUK,long_spread,2018-11-20,2019-02-20,-0.012149,92
PEP,DUK,short_spread,2019-03-19,2019-07-08,-0.105171,111
PEP,DUK,long_spread,2019-08-05,2019-11-04,-0.011599,91
PEP,DUK,short_spread,2019-11-08,2019-12-31,-0.006294,53
PEP,DUK,long_spread,2020-01-31,2020-02-10,0.040264,10
PEP,DUK,long_spread,2020-02-13,2020-03-12,0.022025,28
PEP,DUK,short_spread,2020-03-19,2020-04-09,0.085295,21
PEP,DUK,long_spread,2020-06-08,2020-06-18,0.083471,10
PEP,DUK,long_spread,2020-09-30,2020-11-18,-0.018519,49
PEP,DUK,long_spread,2021-04-15,2021-05-27,0.012784,42
PEP,DUK,short_spread,2021-06-29,2021-08-02,0.028908,34
PEP,DUK,short_spread,2021-09-17,2021-10-04,0.036598,17
PEP,DUK,short_spread,2022-01-19,2022-02-03,0.033961,15
PEP,DUK,long_spread,2022-03-03,2022-04-28,-0.039606,56
PEP,DUK,short_spread,2022-06-17,2022-08-17,0.030453,61
PEP,DUK,long_spread,2022-09-14,2022-09-26,0.09089,12
PEP,DUK,short_spread,2022-09-27,2022-11-25,-0.077955,59
