ticker_a,ticker_b,direction,entry_date,exit_date,trade_return,holding_days
YUM,DUK,short_spread,2015-05-01,2015-07-07,-0.014041,67
YUM,DUK,long_spread,2015-08-11,2015-09-01,0.051415,21
YUM,DUK,long_spread,2015-10-07,2015-11-06,0.155514,30
YUM,DUK,long_spread,2016-01-11,2016-02-26,-0.00479,46
YUM,DUK,short_spread,2016-04-21,2016-04-29,0.069561,8
YUM,DUK,short_spread,2016-05-25,2016-06-01,0.038043,7
YUM,DUK,long_spread,2016-06-14,2016-06-23,0.044771,9
YUM,DUK,long_spread,2016-06-24,2016-07-14,0.035487,20
YUM,DUK,short_spread,2016-08-16,2016-09-22,0.026744,37
YUM,DUK,short_spread,2016-10-04,2016-10-20,0.056135,16
YUM,DUK,short_spread,2016-11-10,2016-12-13,0.002652,33
YUM,DUK,short_spread,2017-02-15,2017-02-16,0.040035,1
YUM,DUK,long_spread,2017-02-22,2017-04-20,-0.051659,57
YUM,DUK,short_spread,2017-06-30,2017-08-03,0.028263,34
YUM,DUK,long_spread,2017-09-15,2017-09-18,0.024564,3
YUM,DUK,long_spread,2017-10-19,2017-11-02,0.029465,14
YUM,DUK,short_spread,2017-11-30,2018-02-16,-0.140781,78
YUM,DUK,short_spread,2018-04-12,2018-04-19,0.034026,7
YUM,DUK,long_spread,2018-05-02,2018-05-08,0.076515,6
YUM,DUK,short_spread,2018-06-06,2018-08-08,0.154369,63
YUM,DUK,short_spread,2018-09-12,2018-10-19,0.018488,37
YUM,DUK,long_spread,2018-11-13,2018-12-24,0.004876,41
YUM,DUK,short_spread,2019-04-01,2019-04-05,0.024078,4
YUM,DUK,short_spread,2019-04-16,2019-05-23,0.008511,37
YUM,DUK,short_spread,2019-05-30,2019-08-15,-0.061776,77
YUM,DUK,long_spread,2019-09-03,2019-11-11,-0.072428,69
YUM,DUK,long_spread,2020-01-24,2020-03-12,-0.046229,48
YUM,DUK,long_spread,2020-03-17,2020-03-23,0.270115,6
YUM,DUK,short_spread,2020-05-06,2020-06-08,0.063356,33
YUM,DUK,short_spread,2020-07-15,2020-07-30,0.055641,15
YUM,DUK,short_spread,2020-08-18,2020-09-09,0.025364,22
YUM,DUK,long_spread,2020-09-30,2020-11-16,0.020669,47
YUM,DUK,short_spread,2020-12-16,2021-01-15,0.028968,30
YUM,DUK,long_spread,2021-03-29,2021-04-08,0.046112,10
YUM,DUK,long_spread,2021-05-13,2021-05-25,0.042704,12
YUM,DUK,long_spread,2021-06-15,2021-06-22,0.02857,7
YUM,DUK,long_spread,2021-07-14,2021-07-22,0.021395,8
YUM,DUK,short_spread,2021-07-30,2021-09-02,0.029215,34
YUM,DUK,short_spread,2021-09-17,2021-10-04,0.045949,17
YUM,DUK,short_spread,2021-12-02,2021-12-03,0.043835,1
YUM,DUK,short_spread,2021-12-09,2021-12-13,0.044238,4
YUM,DUK,short_spread,2021-12-27,2022-01-07,0.034126,11
YUM,DUK,long_spread,2022-01-14,2022-02-10,0.034509,27
YUM,DUK,long_spread,2022-03-03,2022-05-31,-0.126759,89
YUM,DUK,short_spread,2022-06-14,2022-06-30,0.054906,16
YUM,DUK,short_spread,2022-07-20,2022-08-03,0.111159,14
YUM,DUK,long_spread,2022-08-19,2022-09-15,0.080799,27
YUM,DUK,short_spread,2022-09-29,2022-11-25,-0.091063,57
YUM,DUK,long_spread,2022-12-29,2022-12-30,-0.004042,1
