ticker_a,ticker_b,direction,entry_date,exit_date,trade_return,holding_days
KO,PEP,long_spread,2015-03-30,2015-04-22,0.011429,23
KO,PEP,long_spread,2015-06-23,2015-07-27,0.001464,34
KO,PEP,short_spread,2015-07-31,2015-08-10,0.005406,10
KO,PEP,long_spread,2015-08-13,2015-09-17,0.00192,35
KO,PEP,short_spread,2015-09-28,2015-10-26,0.004192,28
KO,PEP,short_spread,2015-11-05,2016-01-06,-0.012774,62
KO,PEP,short_spread,2016-01-14,2016-06-09,-0.025452,147
KO,PEP,long_spread,2016-06-24,2016-10-21,-0.068604,119
KO,PEP,short_spread,2016-11-15,2016-12-02,0.0121,17
KO,PEP,short_spread,2016-12-09,2016-12-13,0.019116,4
KO,PEP,short_spread,2017-01-11,2017-01-23,0.005487,12
KO,PEP,short_spread,2017-01-25,2017-01-30,0.008824,5
KO,PEP,long_spread,2017-02-03,2017-02-08,0.00519,5
KO,PEP,long_spread,2017-02-09,2017-04-06,-0.005014,56
KO,PEP,short_spread,2017-05-01,2017-07-07,-0.009403,67
KO,PEP,short_spread,2017-07-25,2017-08-17,-0.002704,23
KO,PEP,short_spread,2017-08-25,2017-11-15,-0.0364,82
KO,PEP,long_spread,2017-11-17,2018-01-16,-0.002823,60
KO,PEP,long_spread,2018-02-08,2018-02-22,0.014036,14
KO,PEP,long_spread,2018-03-13,2018-03-23,0.008213,10
KO,PEP,short_spread,2018-04-04,2018-06-13,-0.029103,70
KO,PEP,long_spread,2018-06-21,2018-07-27,0.018235,36
KO,PEP,long_spread,2018-08-31,2018-09-04,0.00933,4
KO,PEP,short_spread,2018-09-20,2018-10-29,-0.014092,39
KO,PEP,short_spread,2018-10-30,2018-12-13,-0.01077,44
KO,PEP,short_spread,2018-12-14,2019-02-14,0.067667,62
KO,PEP,long_spread,2019-02-15,2019-04-30,0.003632,74
KO,PEP,short_spread,2019-05-22,2019-05-29,0.007673,7
KO,PEP,short_spread,2019-05-30,2019-09-09,-0.054415,102
KO,PEP,long_spread,2019-10-03,2019-10-18,0.024882,15
KO,PEP,long_spread,2019-10-22,2019-11-20,0.003105,29
KO,PEP,short_spread,2019-12-03,2019-12-09,0.008189,6
KO,PEP,short_spread,2019-12-16,2020-03-02,-0.026232,77
KO,PEP,short_spread,2020-03-04,2020-03-13,0.103168,9
KO,PEP,long_spread,2020-03-16,2020-05-26,-0.091185,71
KO,PEP,short_spread,2020-06-05,2020-06-11,0.045448,6
KO,PEP,long_spread,2020-06-26,2020-07-16,0.026097,20
KO,PEP,short_spread,2020-07-22,2020-07-31,0.03333,9
KO,PEP,short_spread,2020-08-28,2020-10-01,0.013452,34
KO,PEP,short_spread,2020-10-08,2020-10-14,0.030787,6
KO,PEP,short_spread,2020-11-09,2020-11-30,0.040765,21
KO,PEP,short_spread,2020-12-04,2021-05-13,-0.013477,160
KO,PEP,short_spread,2021-05-27,2021-06-16,0.014207,20
KO,PEP,long_spread,2021-06-18,2021-06-22,0.005313,4
KO,PEP,long_spread,2021-06-28,2021-08-05,0.000753,38
KO,PEP,long_spread,2021-08-19,2021-10-29,-0.021586,71
KO,PEP,long_spread,2021-11-18,2022-05-20,0.10456,183
KO,PEP,short_spread,2022-05-24,2022-06-08,0.011433,15
KO,PEP,long_spread,2022-06-16,2022-06-23,0.01007,7
KO,PEP,short_spread,2022-07-01,2022-09-27,0.112911,88
KO,PEP,long_spread,2022-09-28,2022-11-15,0.021593,48
KO,PEP,short_spread,2022-11-30,2022-12-30,-0.016838,30
