ticker_a,ticker_b,direction,entry_date,exit_date,trade_return,holding_days
MSFT,DUK,long_spread,2015-08-21,2015-08-25,0.20936,4
MSFT,DUK,short_spread,2015-11-06,2015-12-22,0.16339,46
MSFT,DUK,long_spread,2016-02-03,2016-04-20,0.050565,77
MSFT,DUK,long_spread,2016-06-13,2016-08-03,-0.005518,51
MSFT,DUK,long_spread,2017-02-22,2017-04-28,-0.040364,65
MSFT,DUK,long_spread,2017-06-01,2017-06-29,0.060719,28
MSFT,DUK,short_spread,2017-12-19,2018-03-22,-0.353652,93
MSFT,DUK,short_spread,2018-06-06,2018-06-21,0.166583,15
MSFT,DUK,short_spread,2018-09-25,2018-10-05,0.118407,10
MSFT,DUK,long_spread,2018-10-24,2019-01-07,-0.043065,75
MSFT,DUK,short_spread,2019-05-09,2019-07-03,0.050745,55
MSFT,DUK,short_spread,2019-07-25,2019-08-08,0.106469,14
MSFT,DUK,long_spread,2019-08-20,2019-11-11,0.184267,83
MSFT,DUK,short_spread,2019-11-12,2020-01-15,0.092043,64
MSFT,DUK,long_spread,2020-02-13,2020-03-19,0.638567,35
MSFT,DUK,short_spread,2020-03-20,2020-04-09,0.672475,20
MSFT,DUK,long_spread,2020-09-30,2020-12-04,-0.10029,65
MSFT,DUK,short_spread,2021-02-26,2021-03-08,0.182515,10
MSFT,DUK,long_spread,2021-03-29,2021-06-21,-0.035086,84
MSFT,DUK,long_spread,2022-03-04,2022-06-09,-0.189635,97
MSFT,DUK,short_spread,2022-06-17,2022-06-30,0.244866,13
MSFT,DUK,short_spread,2022-09-27,2022-11-10,-0.067998,44
