ticker_a,ticker_b,direction,entry_date,exit_date,trade_return,holding_days
YUM,DUK,short_spread,2023-05-02,2023-05-05,0.062167,3
YUM,DUK,short_spread,2023-05-16,2023-07-12,-0.005117,57
YUM,DUK,long_spread,2023-08-11,2023-08-31,0.028698,20
YUM,DUK,long_spread,2023-09-08,2023-09-28,0.015713,20
YUM,DUK,long_spread,2023-10-11,2023-10-18,0.046809,7
YUM,DUK,long_spread,2023-12-06,2024-01-18,0.013324,43
YUM,DUK,short_spread,2024-02-13,2024-03-14,0.017552,30
YUM,DUK,long_spread,2024-05-01,2024-09-26,-0.204863,148
YUM,DUK,long_spread,2024-10-16,2024-10-29,0.06827,13
YUM,DUK,short_spread,2024-11-07,2024-11-15,0.051189,8
YUM,DUK,short_spread,2024-12-11,2025-01-08,0.061294,28
YUM,DUK,short_spread,2025-02-13,2025-03-13,0.028073,28
YUM,DUK,long_spread,2025-04-16,2025-05-12,0.081765,26
